Postcode,Postcode Status,LSOA Code,LSOA Name,Index of Multiple Deprivation Rank,Index of Multiple Deprivation Decile
B28 8BQ,Live,E01009043,Birmingham 097B E01009043,3819,2
B28 8BS,Terminated,E01009043,Birmingham 097B E01009043,3819,2
B28 8BT,Terminated,E01009043,Birmingham 097B E01009043,3819,2
B28 8BU,Live,E01009045,Birmingham 097D E01009045,6932,3
B28 8BW,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 8BX,Live,E01009046,Birmingham 097E E01009046,12055,4
B28 8BY,Live,E01009030,Birmingham 098D E01009030,10650,4
B28 8BZ,Live,E01009045,Birmingham 097D E01009045,6932,3
B28 8DA,Live,E01009046,Birmingham 097E E01009046,12055,4
B28 8DB,Live,E01009046,Birmingham 097E E01009046,12055,4
B28 8DD,Live,E01009046,Birmingham 097E E01009046,12055,4
B28 8DE,Live,E01009046,Birmingham 097E E01009046,12055,4
B28 8DF,Live,E01009030,Birmingham 098D E01009030,10650,4
B28 8DG,Live,E01009046,Birmingham 097E E01009046,12055,4
B28 8DH,Live,E01009046,Birmingham 097E E01009046,12055,4
B28 8DJ,Live,E01009046,Birmingham 097E E01009046,12055,4
B28 8DL,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 8DN,Live,E01009030,Birmingham 098D E01009030,10650,4
B28 8DP,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 8DQ,Live,E01009046,Birmingham 097E E01009046,12055,4
B28 8DR,Live,E01009044,Birmingham 097C E01009044,5915,2
B28 8DS,Live,E01009044,Birmingham 097C E01009044,5915,2
B28 8DT,Live,E01009045,Birmingham 097D E01009045,6932,3
B28 8DU,Live,E01009044,Birmingham 097C E01009044,5915,2
B28 8DW,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 8DX,Live,E01009043,Birmingham 097B E01009043,3819,2
B28 8DY,Live,E01009044,Birmingham 097C E01009044,5915,2
B28 8DZ,Terminated,E01009030,Birmingham 098D E01009030,10650,4
B28 8EA,Live,E01009043,Birmingham 097B E01009043,3819,2
B28 8EB,Live,E01009045,Birmingham 097D E01009045,6932,3
B28 8ED,Live,E01009045,Birmingham 097D E01009045,6932,3
B28 8EE,Live,E01009045,Birmingham 097D E01009045,6932,3
B28 8EF,Live,E01009046,Birmingham 097E E01009046,12055,4
B28 8EG,Terminated,E01009045,Birmingham 097D E01009045,6932,3
B28 8EH,Live,E01009045,Birmingham 097D E01009045,6932,3
B28 8EJ,Live,E01009046,Birmingham 097E E01009046,12055,4
B28 8EL,Live,E01009046,Birmingham 097E E01009046,12055,4
B28 8EP,Terminated,E01009045,Birmingham 097D E01009045,6932,3
B28 8ES,Live,E01009045,Birmingham 097D E01009045,6932,3
B28 8ET,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 8EU,Live,E01009045,Birmingham 097D E01009045,6932,3
B28 8EX,Live,E01009046,Birmingham 097E E01009046,12055,4
B28 8EY,Live,E01009046,Birmingham 097E E01009046,12055,4
B28 8EZ,Live,E01009046,Birmingham 097E E01009046,12055,4
B28 8HA,Live,E01009046,Birmingham 097E E01009046,12055,4
B28 8HB,Live,E01009046,Birmingham 097E E01009046,12055,4
B28 8HD,Live,E01009046,Birmingham 097E E01009046,12055,4
B28 8HE,Live,E01009046,Birmingham 097E E01009046,12055,4
B28 8HF,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 8HG,Live,E01009046,Birmingham 097E E01009046,12055,4
B28 8HN,Live,E01009045,Birmingham 097D E01009045,6932,3
B28 8HP,Live,E01009045,Birmingham 097D E01009045,6932,3
B28 8HR,Terminated,E01009046,Birmingham 097E E01009046,12055,4
B28 8HS,Live,E01009045,Birmingham 097D E01009045,6932,3
B28 8HT,Live,E01009045,Birmingham 097D E01009045,6932,3
B28 8HU,Live,E01009030,Birmingham 098D E01009030,10650,4
B28 8HX,Live,E01009030,Birmingham 098D E01009030,10650,4
B28 8HY,Live,E01009030,Birmingham 098D E01009030,10650,4
B28 8HZ,Live,E01009030,Birmingham 098D E01009030,10650,4
B28 8JA,Live,E01009030,Birmingham 098D E01009030,10650,4
B28 8JB,Live,E01009030,Birmingham 098D E01009030,10650,4
B28 8JD,Live,E01009030,Birmingham 098D E01009030,10650,4
B28 8JE,Live,E01009023,Birmingham 098C E01009023,13286,5
B28 8JF,Live,E01009032,Birmingham 108A E01009032,14825,5
B28 8JG,Live,E01009030,Birmingham 098D E01009030,10650,4
B28 8JH,Terminated,E01009030,Birmingham 098D E01009030,10650,4
B28 8JJ,Terminated,E01009045,Birmingham 097D E01009045,6932,3
B28 8JP,Live,E01009045,Birmingham 097D E01009045,6932,3
B28 8JQ,Live,E01009030,Birmingham 098D E01009030,10650,4
B28 8JR,Live,E01009045,Birmingham 097D E01009045,6932,3
B28 8JX,Live,E01009045,Birmingham 097D E01009045,6932,3
B28 8JY,Live,E01009045,Birmingham 097D E01009045,6932,3
B28 8JZ,Live,E01009030,Birmingham 098D E01009030,10650,4
B28 8LA,Live,E01009030,Birmingham 098D E01009030,10650,4
B28 8LB,Live,E01009030,Birmingham 098D E01009030,10650,4
B28 8LD,Live,E01009030,Birmingham 098D E01009030,10650,4
B28 8LE,Live,E01009016,Birmingham 098A E01009016,1562,1
B28 8LF,Live,E01009016,Birmingham 098A E01009016,1562,1
B28 8LG,Terminated,E01009030,Birmingham 098D E01009030,10650,4
B28 8LH,Live,E01009016,Birmingham 098A E01009016,1562,1
B28 8LJ,Terminated,E01009043,Birmingham 097B E01009043,3819,2
B28 8LL,Terminated,E01009043,Birmingham 097B E01009043,3819,2
B28 8LN,Terminated,E01009043,Birmingham 097B E01009043,3819,2
B28 8LQ,Terminated,E01009030,Birmingham 098D E01009030,10650,4
B28 8LU,Live,E01009043,Birmingham 097B E01009043,3819,2
B28 8LW,Live,E01009043,Birmingham 097B E01009043,3819,2
B28 8LX,Live,E01009043,Birmingham 097B E01009043,3819,2
B28 8LY,Live,E01009043,Birmingham 097B E01009043,3819,2
B28 8LZ,Live,E01009043,Birmingham 097B E01009043,3819,2
B28 8NA,Live,E01009043,Birmingham 097B E01009043,3819,2
B28 8NB,Live,E01009045,Birmingham 097D E01009045,6932,3
B28 8ND,Live,E01009043,Birmingham 097B E01009043,3819,2
B28 8NE,Live,E01009043,Birmingham 097B E01009043,3819,2
B28 8NF,Live,E01009045,Birmingham 097D E01009045,6932,3
