Postcode,Postcode Status,LSOA Code,LSOA Name,Index of Multiple Deprivation Rank,Index of Multiple Deprivation Decile
B28 9NN,Live,E01009033,Birmingham 103F E01009033,2925,1
B28 9NP,Live,E01009033,Birmingham 103F E01009033,2925,1
B28 9NQ,Live,E01009033,Birmingham 103F E01009033,2925,1
B28 9NR,Live,E01009033,Birmingham 103F E01009033,2925,1
B28 9NU,Live,E01009033,Birmingham 103F E01009033,2925,1
B28 9NW,Live,E01009033,Birmingham 103F E01009033,2925,1
B28 9NY,Live,E01009035,Birmingham 108C E01009035,10744,4
B28 9PA,Live,E01032589,Birmingham 132E E01032589,13222,5
B28 9PD,Live,E01009033,Birmingham 103F E01009033,2925,1
B28 9PE,Live,E01009033,Birmingham 103F E01009033,2925,1
B28 9PF,Live,E01009033,Birmingham 103F E01009033,2925,1
B28 9PG,Live,E01009033,Birmingham 103F E01009033,2925,1
B28 9PH,Live,E01009033,Birmingham 103F E01009033,2925,1
B28 9PJ,Live,E01009035,Birmingham 108C E01009035,10744,4
B28 9PL,Live,E01009033,Birmingham 103F E01009033,2925,1
B28 9PN,Live,E01009033,Birmingham 103F E01009033,2925,1
B28 9PP,Live,E01009033,Birmingham 103F E01009033,2925,1
B28 9PQ,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 9PR,Live,E01009033,Birmingham 103F E01009033,2925,1
B28 9PS,Live,E01009035,Birmingham 108C E01009035,10744,4
B28 9PT,Live,E01032589,Birmingham 132E E01032589,13222,5
B28 9PU,Live,E01032589,Birmingham 132E E01032589,13222,5
B28 9PW,Live,E01009033,Birmingham 103F E01009033,2925,1
B28 9PX,Live,E01032589,Birmingham 132E E01032589,13222,5
B28 9PY,Live,E01009035,Birmingham 108C E01009035,10744,4
B28 9PZ,Live,E01009035,Birmingham 108C E01009035,10744,4
B28 9QA,Live,E01009035,Birmingham 108C E01009035,10744,4
B28 9QB,Live,E01009035,Birmingham 108C E01009035,10744,4
B28 9QD,Live,E01009035,Birmingham 108C E01009035,10744,4
B28 9QE,Live,E01009033,Birmingham 103F E01009033,2925,1
B28 9QF,Live,E01009035,Birmingham 108C E01009035,10744,4
B28 9QH,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 9QJ,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 9QL,Live,E01009032,Birmingham 108A E01009032,14825,5
B28 9QN,Live,E01009032,Birmingham 108A E01009032,14825,5
B28 9QP,Live,E01009032,Birmingham 108A E01009032,14825,5
B28 9QQ,Terminated,E01009035,Birmingham 108C E01009035,10744,4
B28 9QR,Live,E01009032,Birmingham 108A E01009032,14825,5
B28 9QS,Live,E01009033,Birmingham 103F E01009033,2925,1
B28 9QT,Live,E01009033,Birmingham 103F E01009033,2925,1
B28 9QU,Live,E01009032,Birmingham 108A E01009032,14825,5
B28 9QW,Live,E01009032,Birmingham 108A E01009032,14825,5
B28 9QX,Live,E01009032,Birmingham 108A E01009032,14825,5
B28 9QY,Live,E01009035,Birmingham 108C E01009035,10744,4
