FID,LSOA code,LSOA11NM,LSOA11NMW,BNG_E,BNG_N,LONG,LAT,GlobalID,LADCD_ACTIVE,UTLACD,CAUTHCD,RGNCD,geometry
8910,E01009168,Birmingham 131B,Birmingham 131B,401736,277094,-1.9759,52.39188,2c7175be-79d3-4a5a-bcb3-6411ad66ebcb,E08000025,E08000025,E47000007,E12000005,"POLYGON ((-1.971152777769928 52.39378042220734, -1.973730636420503 52.39186635263618, -1.972504615060807 52.3910924970141, -1.974946685974015 52.389322192282954, -1.977600316323932 52.38847309181239, -1.977867062738377 52.387673687944, -1.978600418051202 52.38749964714875, -1.978949716956825 52.38785439547025, -1.978732332426002 52.388339966214325, -1.979457756726805 52.3892331511882, -1.980058072353031 52.38884292059977, -1.980668817964375 52.389422854972246, -1.979441615787535 52.38960098721081, -1.979121762635758 52.390818559378545, -1.979103504664721 52.39089771487359, -1.979797154400746 52.39132368476385, -1.979695966407396 52.39236451363752, -1.978755708162592 52.3928685148541, -1.978065959348049 52.39271181900144, -1.976866615967201 52.39294368127592, -1.976610112669404 52.393984207376825, -1.977062072943648 52.39466950153513, -1.976723761117669 52.39495679535114, -1.974963674772171 52.39443574270536, -1.972320771638265 52.39403432724602, -1.971868020669703 52.393996346139865, -1.971152777769928 52.39378042220734))"
8911,E01009169,Birmingham 129D,Birmingham 129D,400111,277105,-1.99978,52.39198,c3b67640-bdaa-4fb7-aae9-e945976059d5,E08000025,E08000025,E47000007,E12000005,"POLYGON ((-1.998978949072414 52.39569981579748, -1.998458323214538 52.39534412751135, -1.997195060880222 52.395379941599145, -1.996513639135582 52.395398022036154, -1.996493666374825 52.39340624932996, -1.99584773182123 52.393454003190506, -1.995837955707755 52.39299617351305, -1.99575738001629 52.39253149098776, -1.996605349796448 52.39154530334219, -1.995649087720854 52.39077221598651, -1.999115577289597 52.38841515369951, -1.999690646621465 52.388659168148884, -1.999736279339074 52.38861122936079, -2.000609965717507 52.38864287127296, -2.000664512865871 52.38919301536151, -2.00225881144 52.39008591090868, -2.002556599138722 52.39025073757586, -2.000910061695468 52.39111777910211, -2.001143763743496 52.39159994223376, -2.001989783105458 52.39195574801581, -2.00150624593099 52.39255674390352, -2.003720683959142 52.39214530339306, -2.003938067233376 52.39248023972462, -2.001822029868159 52.39325344384424, -2.000161480644749 52.3942873218108, -2.00071209435928 52.39464638269001, -2.000117402810634 52.39531219201793, -1.999309128351016 52.39532117296071, -1.998978949072414 52.39569981579748))"
8912,E01009170,Birmingham 131C,Birmingham 131C,402171,276947,-1.96951,52.39055,f76af87e-8f58-4fbb-8fcb-b75fb511f791,E08000025,E08000025,E47000007,E12000005,"POLYGON ((-1.964935100088624 52.39217315205321, -1.966369931013705 52.38945044805732, -1.968835316813059 52.38944296417469, -1.968967733051998 52.38919746118539, -1.969725040193814 52.38967426134804, -1.970624702622527 52.38959811994199, -1.971466126445105 52.389297110961344, -1.972465542632473 52.38811163274372, -1.975585704453886 52.38709643010415, -1.977867062738377 52.387673687944, -1.977600316323932 52.38847309181239, -1.974946685974015 52.389322192282954, -1.972504615060807 52.3910924970141, -1.973730636420503 52.39186635263618, -1.971152777769928 52.39378042220734, -1.971868020669703 52.393996346139865, -1.968883697384971 52.393814967112355, -1.965590799328724 52.39253485285032, -1.964935100088624 52.39217315205321))"
8913,E01009171,Birmingham 130D,Birmingham 130D,399714,276726,-2.00561,52.38857,b0c4edab-5702-49b5-b8ad-323ea66f82fe,E08000025,E08000025,E47000007,E12000005,"POLYGON ((-2.000910061695468 52.39111777910211, -2.002556599138722 52.39025073757586, -2.00225881144 52.39008591090868, -2.000664512865871 52.38919301536151, -2.000609965717507 52.38864287127296, -1.999736279339074 52.38861122936079, -1.999625754757028 52.38812063066789, -2.001105401948198 52.387045119230535, -2.000586241741978 52.386677887495104, -2.001806667329665 52.385274346724394, -2.002334139906927 52.386062089517644, -2.003712894513628 52.386573304743145, -2.004557370750974 52.38653945255679, -2.00420759220807 52.385983958956416, -2.005949378846743 52.38535088713935, -2.008469003046449 52.38694826888343, -2.01136190256283 52.386167013746075, -2.011620694607195 52.386629618615125, -2.010740441580411 52.38688796245519, -2.01058616107207 52.38771491306085, -2.009945519806455 52.38786208410602, -2.010167703671205 52.38844261829471, -2.009664218812476 52.38919245375654, -2.007021993171823 52.38845319264539, -2.007919826907973 52.38937844864785, -2.008873819167838 52.390179279431216, -2.009451067491706 52.39171942442174, -2.008764488972916 52.39166518408324, -2.008531969574808 52.39112070311706, -2.007497099399167 52.39148475750704, -2.007057793666275 52.39098107058207, -2.005938570005528 52.390837158245645, -2.005624268234213 52.39164274964307, -2.003720683959142 52.39214530339306, -2.00150624593099 52.39255674390352, -2.001989783105458 52.39195574801581, -2.001143763743496 52.39159994223376, -2.000910061695468 52.39111777910211))"
8914,E01009172,Birmingham 119A,Birmingham 119A,400986,279270,-1.98692,52.41144,b8a92bc6-4dcb-42e7-9e7d-6cc9fbb47498,E08000025,E08000025,E47000007,E12000005,"POLYGON ((-1.98478481965161 52.413488591695625, -1.984224451105366 52.41169846350496, -1.984186848161305 52.41160605870365, -1.983815462901236 52.41062806479969, -1.983508615051418 52.40949043465174, -1.984289768664582 52.407600836131735, -1.985596983222469 52.408112372741826, -1.98722062747478 52.406665586166014, -1.988801198164183 52.40736547597942, -1.991274402956078 52.40726288638949, -1.994812696187362 52.406157856447926, -1.99516374896442 52.40630697086721, -1.995001809461831 52.40859044198428, -1.990751282891246 52.41013648674022, -1.988886030586156 52.41042401235909, -1.987322253108059 52.41030698768547, -1.987446994040799 52.41084286787173, -1.989425159037118 52.411173589187186, -1.989986318521847 52.411635006813924, -1.98781016654162 52.41247628972833, -1.98836252026902 52.41289414014627, -1.990384727728115 52.41280773498973, -1.990682384223421 52.41363463151372, -1.988868910159042 52.414107652533474, -1.98858834850794 52.4144600007463, -1.986043998263585 52.41671140102201, -1.985048563535123 52.416436275788236, -1.984572976647946 52.415340004289405, -1.984645916218178 52.414555454902526, -1.984685799361034 52.41423085235455, -1.984699492491338 52.414128529249375, -1.98478481965161 52.413488591695625))"
8915,E01009173,Birmingham 119B,Birmingham 119B,400586,279235,-1.9928,52.41113,9165fc97-1ac4-4d0d-80cf-1a77d9b2f3d0,E08000025,E08000025,E47000007,E12000005,"POLYGON ((-1.990682384223421 52.41363463151372, -1.990384727728115 52.41280773498973, -1.98836252026902 52.41289414014627, -1.98781016654162 52.41247628972833, -1.989986318521847 52.411635006813924, -1.989425159037118 52.411173589187186, -1.987446994040799 52.41084286787173, -1.987322253108059 52.41030698768547, -1.988886030586156 52.41042401235909, -1.990751282891246 52.41013648674022, -1.995001809461831 52.40859044198428, -1.99634051446636 52.408945227952124, -1.997221520493428 52.40921981468675, -1.997553670546702 52.40878979044388, -1.999002431802615 52.409087073847964, -1.999304980002983 52.40932088897842, -1.998904480078975 52.409765097671205, -1.998030038995328 52.40948054102805, -1.997802316096861 52.409720949856535, -1.996927004001559 52.410475944914396, -1.995984228118217 52.41209192753121, -1.993251758812687 52.41355821401083, -1.990682384223421 52.41363463151372))"
8916,E01009174,Birmingham 119C,Birmingham 119C,399879,278870,-2.00319,52.40785,a6d5fa65-991e-47e9-810e-f057bfee8b91,E08000025,E08000025,E47000007,E12000005,"POLYGON ((-2.004200267059545 52.410951792017705, -2.002797703824782 52.410663552282514, -2.002084686226175 52.41085683698748, -2.00142591467008 52.41041466295197, -1.999725459743704 52.4100538857575, -1.99862402507405 52.40974322883066, -1.99814899332534 52.409973027455145, -1.997802316096861 52.409720949856535, -1.998030038995328 52.40948054102805, -1.998904480078975 52.409765097671205, -1.999304980002983 52.40932088897842, -2.001346374648876 52.40857872183138, -2.002104669851096 52.40628262749876, -2.002146025850204 52.40612638822326, -2.002762428959939 52.40493134268705, -2.00488670026069 52.40491376915107, -2.005080075647638 52.40549820426945, -2.005297305497686 52.40603151765316, -2.006127667933479 52.405657003248535, -2.007134152546908 52.40622276165364, -2.007749340006554 52.40653467700602, -2.007311212903007 52.406678699842374, -2.008184775754141 52.407552745092644, -2.007744688139108 52.407714758777146, -2.007958630016114 52.408177274106535, -2.008599446316154 52.407842347770874, -2.008608749878383 52.40827407710608, -2.008093894579634 52.40860993858751, -2.006447316059647 52.409120175861126, -2.00464725433785 52.40920903224819, -2.004200267059545 52.410951792017705))"
8917,E01009175,Birmingham 104A,Birmingham 104A,408057,281698,-1.88291,52.43321,a155ab7a-e0e9-45a2-a037-6c6810e07121,E08000025,E08000025,E47000007,E12000005,"POLYGON ((-1.884200416716252 52.43533612188242, -1.883866273229044 52.43512081007893, -1.882937146738397 52.43536889751903, -1.882217326585183 52.43448218086735, -1.880849142811685 52.43457624260761, -1.87909448829728 52.433776429484055, -1.880994335027536 52.432644358303726, -1.880955122683769 52.431725213614584, -1.883467359516885 52.43215923190336, -1.884976398408827 52.43227946423129, -1.885869028860588 52.431821098041524, -1.887869402645784 52.4313016659446, -1.888537608814033 52.43131994356723, -1.888477781524112 52.43095606949459, -1.892171961657072 52.43094256794663, -1.892220640284247 52.43051507301015, -1.892922530055141 52.43045484648322, -1.892962921211009 52.43095222979743, -1.893000910469169 52.431421409144356, -1.893034649475634 52.43193339515517, -1.893070094285509 52.432445238809436, -1.890740036366388 52.43295505180644, -1.89124022836077 52.43338520837643, -1.890948404427382 52.43356087524661, -1.892005412274846 52.43361433562794, -1.891376689814731 52.43450853914414, -1.890912325587332 52.43452170569396, -1.889697647788344 52.43455654188442, -1.889746830241648 52.43488321345348, -1.888943965531418 52.43510603713488, -1.888772833569676 52.43503106165795, -1.888344778244137 52.43436932557671, -1.888752433796873 52.434003940382134, -1.887626953011285 52.43328030492998, -1.88677681905064 52.43305421472868, -1.886403432735387 52.43257443694219, -1.886108158105384 52.43315137675361, -1.885514763319816 52.43325205988735, -1.885527196300431 52.433557661119366, -1.884969982441514 52.4344040637074, -1.88615395336999 52.43526523807219, -1.886630983717183 52.43518040682214, -1.887569084076591 52.43564043010383, -1.885854099130074 52.435964239220176, -1.883830210051663 52.43571146560969, -1.883472841480975 52.43566535018847, -1.883571132844746 52.43536748119909, -1.884200416716252 52.43533612188242))"
8918,E01009176,Birmingham 105E,Birmingham 105E,408926,282251,-1.87011,52.43817,4ff89874-bf01-4564-8a78-51ab5967e191,E08000025,E08000025,E47000007,E12000005,"POLYGON ((-1.870510302093073 52.44239981071322, -1.869995623223745 52.441862093466675, -1.868793307188523 52.44202523194214, -1.868157036266229 52.441660106265836, -1.867733450517114 52.441961240530496, -1.867347451857417 52.44170808878186, -1.867270689115353 52.441651825980266, -1.864666722092271 52.4395749991272, -1.863344648082159 52.438752312167395, -1.863157683101439 52.43864170606271, -1.860052059606078 52.43677810927639, -1.858338726114327 52.43581046297558, -1.857785657139426 52.4346557228945, -1.857397070262451 52.4338080169773, -1.857340793129218 52.433671606349755, -1.861553992447792 52.43349595837002, -1.864457211883064 52.43383239389532, -1.869385973720495 52.434663431662756, -1.872191056895795 52.433447729188394, -1.874715749699084 52.4324210120625, -1.876734869874388 52.431363797315896, -1.878688132453859 52.43182180537068, -1.880955122683769 52.431725213614584, -1.880994335027536 52.432644358303726, -1.87909448829728 52.433776429484055, -1.880849142811685 52.43457624260761, -1.882217326585183 52.43448218086735, -1.882937146738397 52.43536889751903, -1.880926104033713 52.43641798170777, -1.879301754154665 52.43513409969249, -1.876617981056293 52.435107908257216, -1.877274999255593 52.43754700115863, -1.876936786326908 52.43758465132367, -1.873943150304146 52.43616791292654, -1.870477838238853 52.43794431904418, -1.871423083862145 52.43900609961461, -1.870453711919694 52.438925032728335, -1.87086045026997 52.4410795045658, -1.871954268134125 52.441155362509825, -1.871870207597548 52.4414860145975, -1.872838443032526 52.441030714850825, -1.873345633583623 52.441140252976126, -1.87291318023398 52.442151095622876, -1.871718985218642 52.442000475838746, -1.871564372256029 52.442516101871625, -1.870510302093073 52.44239981071322))"
8919,E01009177,Birmingham 104B,Birmingham 104B,406967,281829,-1.89894,52.4344,84888074-75bc-4986-8bd4-81eb96547b19,E08000025,E08000025,E47000007,E12000005,"POLYGON ((-1.896388394063027 52.436765395811435, -1.89639103783829 52.43632694546389, -1.896129193726914 52.43644590616474, -1.895495942428992 52.436229296862166, -1.895973271096214 52.4359766607869, -1.895404105163005 52.43547188233896, -1.895923001089759 52.43490087150696, -1.897682837400132 52.43451791574507, -1.898428480420258 52.43387274891625, -1.897390151839067 52.43277866691247, -1.89777747397376 52.4325590063481, -1.898323148248551 52.43234896488999, -1.897230915769678 52.43155654055785, -1.897776781561146 52.431291132122944, -1.899650047800212 52.43259678181676, -1.900744843337555 52.433398652292254, -1.900762598562451 52.43341483842309, -1.902527907430469 52.435041720010354, -1.899199206367769 52.43658595933731, -1.895369290969891 52.43799862480356, -1.895526651449825 52.43711040509592, -1.896388394063027 52.436765395811435))"
8920,E01009178,Birmingham 104C,Birmingham 104C,407338,281884,-1.89348,52.43489,4b3cc930-8cb4-4188-88ed-35f560235256,E08000025,E08000025,E47000007,E12000005,"POLYGON ((-1.88901661543452 52.43784628389981, -1.888546836047004 52.43719726665995, -1.888801088490093 52.43684862041699, -1.888794694550732 52.43682914201832, -1.8893130539653 52.436742266528036, -1.889364118134488 52.436212590239165, -1.888943965531418 52.43510603713488, -1.889746830241648 52.43488321345348, -1.889697647788344 52.43455654188442, -1.890912325587332 52.43452170569396, -1.891376689814731 52.43450853914414, -1.892005412274846 52.43361433562794, -1.890948404427382 52.43356087524661, -1.89124022836077 52.43338520837643, -1.890740036366388 52.43295505180644, -1.893070094285509 52.432445238809436, -1.893563537612245 52.432435200452396, -1.897339743064243 52.43107920099409, -1.897428023522002 52.43104560072175, -1.897776781561146 52.431291132122944, -1.897230915769678 52.43155654055785, -1.898323148248551 52.43234896488999, -1.89777747397376 52.4325590063481, -1.897390151839067 52.43277866691247, -1.898428480420258 52.43387274891625, -1.897682837400132 52.43451791574507, -1.895923001089759 52.43490087150696, -1.895404105163005 52.43547188233896, -1.895973271096214 52.4359766607869, -1.895495942428992 52.436229296862166, -1.896129193726914 52.43644590616474, -1.893942068052304 52.43725742361891, -1.892661768754817 52.43748102211334, -1.892643964100044 52.43713141979664, -1.892066182110642 52.43727432210245, -1.891249240507466 52.43703477345309, -1.891428976671225 52.43759382120989, -1.892069055247582 52.43744137740204, -1.892110205696814 52.437788762518956, -1.890072721085705 52.438262049697805, -1.88901661543452 52.43784628389981))"
8921,E01009179,Birmingham 104D,Birmingham 104D,407790,281284,-1.88685,52.42949,e1145b54-2d60-4433-88d5-6cb5fb2802b5,E08000025,E08000025,E47000007,E12000005,"POLYGON ((-1.883467359516885 52.43215923190336, -1.880955122683769 52.431725213614584, -1.878688132453859 52.43182180537068, -1.876734869874388 52.431363797315896, -1.879839768121696 52.42968784444672, -1.881899601906287 52.42926950100488, -1.885789685856719 52.42802571484421, -1.887418412253462 52.427426144798076, -1.888366588655299 52.42669713094887, -1.888380383386866 52.42668538496213, -1.891705675833063 52.42796122570902, -1.892694961473178 52.428104448434055, -1.892884836348072 52.430028343012175, -1.892922530055141 52.43045484648322, -1.892220640284247 52.43051507301015, -1.892171961657072 52.43094256794663, -1.888477781524112 52.43095606949459, -1.888537608814033 52.43131994356723, -1.887869402645784 52.4313016659446, -1.885869028860588 52.431821098041524, -1.884976398408827 52.43227946423129, -1.883467359516885 52.43215923190336))"
8922,E01009182,Birmingham 092A,Birmingham 092A,407517,283872,-1.8908,52.45276,86e2cc1c-5228-4a52-a07b-1ecc085752d3,E08000025,E08000025,E47000007,E12000005,"POLYGON ((-1.893017213455841 52.45551677496153, -1.892988317846261 52.45485073374487, -1.892370153931396 52.45498419720079, -1.891479036467437 52.45430195194829, -1.891341695149338 52.45421855179178, -1.889812513016027 52.45419719181224, -1.88946257071413 52.45422975152299, -1.887012603674779 52.453894146845805, -1.887892698540027 52.451908991568594, -1.888641295367086 52.450944327722446, -1.888706536660026 52.45077559710904, -1.888754604927523 52.450414055142815, -1.891760612981546 52.45109108787707, -1.891705177173018 52.45039008643916, -1.893414697404119 52.45075407653932, -1.89378764254036 52.45036974676782, -1.894071034491191 52.44999633960109, -1.894761101104911 52.45011807641074, -1.894792898965024 52.451188841380265, -1.895554254461768 52.45229342407819, -1.89542766974772 52.45262045875663, -1.8950133531937 52.45252816089687, -1.892819311811646 52.45139770976561, -1.892514600780468 52.45168930346201, -1.893407877258858 52.4524924317539, -1.895154138978882 52.45314601554628, -1.894659522595307 52.45390487278805, -1.894419605197148 52.45432329681392, -1.893426219199323 52.455477749076245, -1.893017213455841 52.45551677496153))"
8923,E01009183,Birmingham 088C,Birmingham 088C,406940,283335,-1.89931,52.44794,baa4fbd9-11cf-49d3-9550-5aa9dfea57b0,E08000025,E08000025,E47000007,E12000005,"POLYGON ((-1.897743203326183 52.45364585494388, -1.897204805484364 52.45288923139447, -1.896345627612932 52.45318865073894, -1.8950133531937 52.45252816089687, -1.89542766974772 52.45262045875663, -1.895554254461768 52.45229342407819, -1.894792898965024 52.451188841380265, -1.894761101104911 52.45011807641074, -1.895731068211486 52.4492950260074, -1.896341448804753 52.45092019030544, -1.897131542734696 52.450842512420394, -1.896856979328148 52.449406012397816, -1.896456094460119 52.44837946518177, -1.895092338453765 52.44845102897125, -1.893197218557901 52.44723567670137, -1.890597603965506 52.446766185526755, -1.890772375744463 52.446082170686246, -1.891611745255726 52.44607427459846, -1.893288134249635 52.44664849498924, -1.894421807709254 52.44641347254332, -1.894581912482487 52.446040093419725, -1.894132938156458 52.445412172444506, -1.892572371742107 52.44509857256694, -1.892002438976777 52.44433918060617, -1.892192474940097 52.44393508148661, -1.891690034983535 52.443854064029395, -1.891940753692321 52.443602572309494, -1.893288481910089 52.44338520065354, -1.892872014771297 52.44270537749484, -1.895311530109735 52.442868414891095, -1.898104807187583 52.4437159187173, -1.901032128926284 52.4438802091601, -1.901663194392958 52.44457296533844, -1.902648042161286 52.444603202172054, -1.903095129173038 52.44497529644755, -1.902004003351627 52.44589650563179, -1.904382195879279 52.44643604056364, -1.905028789480175 52.446220880674545, -1.905295081273775 52.445537852597965, -1.905941105006167 52.44588751180917, -1.905628026945124 52.44650476012256, -1.905094900818529 52.446389451376604, -1.903592869488133 52.446953397096905, -1.903688963478488 52.44795324528379, -1.9050313393668 52.44817398960868, -1.905082030500724 52.44904424507484, -1.90581234900166 52.449500755501205, -1.908046089245165 52.45015089440506, -1.904906982775543 52.452633265706304, -1.90471015034622 52.452806470956155, -1.904286704482793 52.45303389173308, -1.901624707230602 52.45285717282702, -1.899006588658124 52.451980928176305, -1.897743203326183 52.45364585494388))"
8924,E01009184,Birmingham 092B,Birmingham 092B,407609,283066,-1.88947,52.44552,639226f7-03ad-483c-9e5d-b80b7c194e4c,E08000025,E08000025,E47000007,E12000005,"POLYGON ((-1.888754604927523 52.450414055142815, -1.888013013298769 52.44838217235181, -1.88803996171085 52.44825690402433, -1.887881145627095 52.446740219841004, -1.886229690094674 52.44598775565751, -1.884904929249388 52.4459968514069, -1.88448176025814 52.4446383900886, -1.885338458934908 52.44447342790215, -1.885854348334266 52.44505380876502, -1.885855810868429 52.4444866390371, -1.886775359737081 52.44454873385081, -1.886644364247982 52.445087739938124, -1.887776592853521 52.44386840437533, -1.890483804091274 52.441310416717094, -1.891236419959202 52.44060156308137, -1.891750469321778 52.44056984026695, -1.89199399205479 52.441071408905074, -1.892950055464865 52.439926569559184, -1.894533795077988 52.44055836926856, -1.89307446741182 52.44143605257059, -1.892872014771297 52.44270537749484, -1.893288481910089 52.44338520065354, -1.891940753692321 52.443602572309494, -1.891690034983535 52.443854064029395, -1.892192474940097 52.44393508148661, -1.892002438976777 52.44433918060617, -1.892572371742107 52.44509857256694, -1.894132938156458 52.445412172444506, -1.894581912482487 52.446040093419725, -1.894421807709254 52.44641347254332, -1.893288134249635 52.44664849498924, -1.891611745255726 52.44607427459846, -1.890772375744463 52.446082170686246, -1.890597603965506 52.446766185526755, -1.893197218557901 52.44723567670137, -1.895092338453765 52.44845102897125, -1.896456094460119 52.44837946518177, -1.896856979328148 52.449406012397816, -1.897131542734696 52.450842512420394, -1.896341448804753 52.45092019030544, -1.895731068211486 52.4492950260074, -1.894761101104911 52.45011807641074, -1.894071034491191 52.44999633960109, -1.89378764254036 52.45036974676782, -1.893414697404119 52.45075407653932, -1.891705177173018 52.45039008643916, -1.891760612981546 52.45109108787707, -1.888754604927523 52.450414055142815))"
8925,E01009185,Birmingham 093A,Birmingham 093A,408560,282464,-1.87549,52.44009,d0b96b4f-e5e2-4b2c-8af6-b93b3ac6d9fd,E08000025,E08000025,E47000007,E12000005,"POLYGON ((-1.869452976819502 52.44284528399531, -1.867733450517114 52.441961240530496, -1.868157036266229 52.441660106265836, -1.868793307188523 52.44202523194214, -1.869995623223745 52.441862093466675, -1.870510302093073 52.44239981071322, -1.871564372256029 52.442516101871625, -1.871718985218642 52.442000475838746, -1.87291318023398 52.442151095622876, -1.873345633583623 52.441140252976126, -1.872838443032526 52.441030714850825, -1.871870207597548 52.4414860145975, -1.871954268134125 52.441155362509825, -1.87086045026997 52.4410795045658, -1.870453711919694 52.438925032728335, -1.871423083862145 52.43900609961461, -1.870477838238853 52.43794431904418, -1.873943150304146 52.43616791292654, -1.876936786326908 52.43758465132367, -1.877807329397415 52.437827150010996, -1.878854756318386 52.43789772710707, -1.879475301781961 52.43825930931191, -1.879243160253404 52.43863681596794, -1.878109181968525 52.439103136594134, -1.877710311597354 52.43971404744319, -1.881024504681608 52.4416805986618, -1.881050075625174 52.4423037226735, -1.881609431985495 52.44248736441463, -1.882068239665029 52.442284143859304, -1.882052206820593 52.44293462776593, -1.883185831082362 52.442991919928296, -1.883103307031756 52.443701609542664, -1.882490410422887 52.44400991857069, -1.883244139794683 52.44465178640161, -1.882465112502815 52.445298261776166, -1.881625990230888 52.444572207596366, -1.880846477353898 52.444142004055536, -1.878203102614822 52.44368926634552, -1.877187165709523 52.44349622003812, -1.874710733776155 52.44314333210864, -1.874091021121203 52.44307331740397, -1.873196340966318 52.443031234252594, -1.871457756074511 52.44297743505247, -1.869452976819502 52.44284528399531))"
8926,E01009186,Birmingham 088D,Birmingham 088D,406735,282741,-1.90233,52.44261,285215c2-4fdb-49dd-a78a-9719fb3aa30b,E08000025,E08000025,E47000007,E12000005,"POLYGON ((-1.903592869488133 52.446953397096905, -1.905094900818529 52.446389451376604, -1.905628026945124 52.44650476012256, -1.905941105006167 52.44588751180917, -1.905295081273775 52.445537852597965, -1.905028789480175 52.446220880674545, -1.904382195879279 52.44643604056364, -1.902004003351627 52.44589650563179, -1.903095129173038 52.44497529644755, -1.902648042161286 52.444603202172054, -1.901663194392958 52.44457296533844, -1.901032128926284 52.4438802091601, -1.898104807187583 52.4437159187173, -1.895311530109735 52.442868414891095, -1.892872014771297 52.44270537749484, -1.89307446741182 52.44143605257059, -1.894533795077988 52.44055836926856, -1.892950055464865 52.439926569559184, -1.892687816467111 52.43943100917084, -1.895369290969891 52.43799862480356, -1.899199206367769 52.43658595933731, -1.902527907430469 52.435041720010354, -1.905259701076476 52.4363613685999, -1.905458026557158 52.436375388585965, -1.905544625538528 52.436379812356456, -1.905785318777856 52.436395392035315, -1.907225431145219 52.43642265229403, -1.911366619495652 52.43758356365312, -1.912652833988979 52.437290044019036, -1.911666983279597 52.43973746476795, -1.911688772401477 52.4406143676847, -1.911755450264183 52.44186599887505, -1.911789916010356 52.44248074398651, -1.91220594238607 52.44476103757046, -1.911657701472524 52.44621418987681, -1.910380281775064 52.44712663488844, -1.909495974449769 52.44756753486713, -1.90928231194641 52.449074043258705, -1.908567266952491 52.44978619510761, -1.908046089245165 52.45015089440506, -1.90581234900166 52.449500755501205, -1.905082030500724 52.44904424507484, -1.9050313393668 52.44817398960868, -1.903688963478488 52.44795324528379, -1.903592869488133 52.446953397096905))"
8927,E01009187,Birmingham 092C,Birmingham 092C,407976,282799,-1.88408,52.44311,21ec3be2-2b51-45ad-9e0f-a9e2e4933db6,E08000025,E08000025,E47000007,E12000005,"POLYGON ((-1.883244139794683 52.44465178640161, -1.882490410422887 52.44400991857069, -1.883103307031756 52.443701609542664, -1.883185831082362 52.442991919928296, -1.882052206820593 52.44293462776593, -1.882068239665029 52.442284143859304, -1.881609431985495 52.44248736441463, -1.881050075625174 52.4423037226735, -1.881024504681608 52.4416805986618, -1.877710311597354 52.43971404744319, -1.878109181968525 52.439103136594134, -1.879243160253404 52.43863681596794, -1.879475301781961 52.43825930931191, -1.880835948791806 52.43881180060958, -1.881437601463132 52.43837297145888, -1.881964800958725 52.43854965717285, -1.882324855664961 52.43904005246997, -1.88436891266002 52.43931759028701, -1.884032287424885 52.440155859887774, -1.886492355720294 52.44038256899223, -1.88705984215883 52.44008888551201, -1.888020603657683 52.44046141749254, -1.887675077209766 52.440732490407186, -1.88845636132692 52.44110155826543, -1.889020044126046 52.44126738679899, -1.889324298158729 52.44098014336036, -1.890483804091274 52.441310416717094, -1.887776592853521 52.44386840437533, -1.886644364247982 52.445087739938124, -1.886775359737081 52.44454873385081, -1.885855810868429 52.4444866390371, -1.885854348334266 52.44505380876502, -1.885338458934908 52.44447342790215, -1.88448176025814 52.4446383900886, -1.884904929249388 52.4459968514069, -1.884020686810837 52.446049363349594, -1.882465112502815 52.445298261776166, -1.883244139794683 52.44465178640161))"
8928,E01009188,Birmingham 092D,Birmingham 092D,407711,282322,-1.88798,52.43883,e727eaeb-e157-46f0-8955-365309faba10,E08000025,E08000025,E47000007,E12000005,"POLYGON ((-1.890483804091274 52.441310416717094, -1.889324298158729 52.44098014336036, -1.889020044126046 52.44126738679899, -1.88845636132692 52.44110155826543, -1.887675077209766 52.440732490407186, -1.888020603657683 52.44046141749254, -1.88705984215883 52.44008888551201, -1.886492355720294 52.44038256899223, -1.884032287424885 52.440155859887774, -1.88436891266002 52.43931759028701, -1.882324855664961 52.43904005246997, -1.881964800958725 52.43854965717285, -1.882860912548536 52.43757476860167, -1.883609291547351 52.43754868853827, -1.883850194052876 52.43742623792493, -1.883023821716941 52.43710847289273, -1.883124329025368 52.43684281330967, -1.888801088490093 52.43684862041699, -1.888546836047004 52.43719726665995, -1.88901661543452 52.43784628389981, -1.890072721085705 52.438262049697805, -1.892110205696814 52.437788762518956, -1.892069055247582 52.43744137740204, -1.891428976671225 52.43759382120989, -1.891249240507466 52.43703477345309, -1.892066182110642 52.43727432210245, -1.892643964100044 52.43713141979664, -1.892661768754817 52.43748102211334, -1.893942068052304 52.43725742361891, -1.896129193726914 52.43644590616474, -1.89639103783829 52.43632694546389, -1.896388394063027 52.436765395811435, -1.895526651449825 52.43711040509592, -1.895369290969891 52.43799862480356, -1.892687816467111 52.43943100917084, -1.892950055464865 52.439926569559184, -1.89199399205479 52.441071408905074, -1.891750469321778 52.44056984026695, -1.891236419959202 52.44060156308137, -1.890483804091274 52.441310416717094))"
